【ＪＩＳコードのリスト】
        ＪＩＳ Ｘ ０２０８

JIS     SJIS    char    区点
5a6f    9ded    晨      58-79
5a70    9dee    晟      58-80
5a71    9def    晢      58-81
5a72    9df0    晰      58-82
5a73    9df1    暃      58-83
5a74    9df2    暈      58-84
5a75    9df3    暎      58-85
5a76    9df4    暉      58-86
5a77    9df5    暄      58-87
5a78    9df6    暘      58-88
5a79    9df7    暝      58-89
5a7a    9df8    曁      58-90
5a7b    9df9    暹      58-91
5a7c    9dfa    曉      58-92
5a7d    9dfb    暾      58-93
5a7e    9dfc    暼      58-94
5b21    9e40    曄      59-01
5b22    9e41    暸      59-02
5b23    9e42    曖      59-03
5b24    9e43    曚      59-04
5b25    9e44    曠      59-05
5b26    9e45    昿      59-06
5b27    9e46    曦      59-07
5b28    9e47    曩      59-08
5b29    9e48    曰      59-09
5b2a    9e49    曵      59-10
5b2b    9e4a    曷      59-11
5b2c    9e4b    朏      59-12
5b2d    9e4c    朖      59-13
5b2e    9e4d    朞      59-14
5b2f    9e4e    朦      59-15
5b30    9e4f    朧      59-16
5b31    9e50    霸      59-17
5b32    9e51    朮      59-18
5b33    9e52    朿      59-19
5b34    9e53    朶      59-20
5b35    9e54    杁      59-21
5b36    9e55    朸      59-22
5b37    9e56    朷      59-23
5b38    9e57    杆      59-24
5b39    9e58    杞      59-25
5b3a    9e59    杠      59-26
5b3b    9e5a    杙      59-27
5b3c    9e5b    杣      59-28
5b3d    9e5c    杤      59-29
5b3e    9e5d    枉      59-30
5b3f    9e5e    杰      59-31
5b40    9e5f    枩      59-32
5b41    9e60    杼      59-33
5b42    9e61    杪      59-34
5b43    9e62    枌      59-35
5b44    9e63    枋      59-36
5b45    9e64    枦      59-37
5b46    9e65    枡      59-38
5b47    9e66    枅      59-39
5b48    9e67    枷      59-40
5b49    9e68    柯      59-41
5b4a    9e69    枴      59-42
5b4b    9e6a    柬      59-43
5b4c    9e6b    枳      59-44
5b4d    9e6c    柩      59-45
5b4e    9e6d    枸      59-46
5b4f    9e6e    柤      59-47
5b50    9e6f    柞      59-48
5b51    9e70    柝      59-49
5b52    9e71    柢      59-50
5b53    9e72    柮      59-51
5b54    9e73    枹      59-52
5b55    9e74    柎      59-53
5b56    9e75    柆      59-54
5b57    9e76    柧      59-55
5b58    9e77    檜      59-56
5b59    9e78    栞      59-57
5b5a    9e79    框      59-58
5b5b    9e7a    栩      59-59
5b5c    9e7b    桀      59-60
5b5d    9e7c    桍      59-61
5b5e    9e7d    栲      59-62
5b5f    9e7e    桎      59-63
5b60    9e80    梳      59-64
5b61    9e81    栫      59-65
5b62    9e82    桙      59-66
5b63    9e83    档      59-67
5b64    9e84    桷      59-68
5b65    9e85    桿      59-69
5b66    9e86    梟      59-70
5b67    9e87    梏      59-71
5b68    9e88    梭      59-72
5b69    9e89    梔      59-73
5b6a    9e8a    條      59-74
5b6b    9e8b    梛      59-75
5b6c    9e8c    梃      59-76
5b6d    9e8d    檮      59-77
5b6e    9e8e    梹      59-78
5b6f    9e8f    桴      59-79
5b70    9e90    梵      59-80
5b71    9e91    梠      59-81
5b72    9e92    梺      59-82
5b73    9e93    椏      59-83
5b74    9e94    梍      59-84
5b75    9e95    桾      59-85
5b76    9e96    椁      59-86
5b77    9e97    棊      59-87
5b78    9e98    椈      59-88
5b79    9e99    棘      59-89
5b7a    9e9a    椢      59-90
5b7b    9e9b    椦      59-91
5b7c    9e9c    棡      59-92
5b7d    9e9d    椌      59-93
5b7e    9e9e    棍      59-94
5c21    9e9f    棔      60-01
5c22    9ea0    棧      60-02
5c23    9ea1    棕      60-03
5c24    9ea2    椶      60-04
5c25    9ea3    椒      60-05
5c26    9ea4    椄      60-06
5c27    9ea5    棗      60-07
5c28    9ea6    棣      60-08
5c29    9ea7    椥      60-09
5c2a    9ea8    棹      60-10
5c2b    9ea9    棠      60-11
5c2c    9eaa    棯      60-12
5c2d    9eab    椨      60-13
5c2e    9eac    椪      60-14
5c2f    9ead    椚      60-15
5c30    9eae    椣      60-16
5c31    9eaf    椡      60-17
5c32    9eb0    棆      60-18
5c33    9eb1    楹      60-19
5c34    9eb2    楷      60-20
5c35    9eb3    楜      60-21
5c36    9eb4    楸      60-22
5c37    9eb5    楫      60-23
5c38    9eb6    楔      60-24
5c39    9eb7    楾      60-25
5c3a    9eb8    楮      60-26
5c3b    9eb9    椹      60-27
5c3c    9eba    楴      60-28
5c3d    9ebb    椽      60-29
5c3e    9ebc    楙      60-30
5c3f    9ebd    椰      60-31
5c40    9ebe    楡      60-32
5c41    9ebf    楞      60-33
5c42    9ec0    楝      60-34
5c43    9ec1    榁      60-35
5c44    9ec2    楪      60-36
5c45    9ec3    榲      60-37
5c46    9ec4    榮      60-38
5c47    9ec5    槐      60-39
5c48    9ec6    榿      60-40
5c49    9ec7    槁      60-41
5c4a    9ec8    槓      60-42
5c4b    9ec9    榾      60-43
5c4c    9eca    槎      60-44
5c4d    9ecb    寨      60-45
5c4e    9ecc    槊      60-46
5c4f    9ecd    槝      60-47
5c50    9ece    榻      60-48
5c51    9ecf    槃      60-49
5c52    9ed0    榧      60-50
5c53    9ed1    樮      60-51
5c54    9ed2    榑      60-52
5c55    9ed3    榠      60-53
5c56    9ed4    榜      60-54
5c57    9ed5    榕      60-55
5c58    9ed6    榴      60-56
5c59    9ed7    槞      60-57
5c5a    9ed8    槨      60-58
5c5b    9ed9    樂      60-59
5c5c    9eda    樛      60-60
5c5d    9edb    槿      60-61
5c5e    9edc    權      60-62
5c5f    9edd    槹      60-63
5c60    9ede    槲      60-64
5c61    9edf    槧      60-65
5c62    9ee0    樅      60-66
5c63    9ee1    榱      60-67
5c64    9ee2    樞      60-68
5c65    9ee3    槭      60-69
5c66    9ee4    樔      60-70
5c67    9ee5    槫      60-71
5c68    9ee6    樊      60-72
5c69    9ee7    樒      60-73
5c6a    9ee8    櫁      60-74
5c6b    9ee9    樣      60-75
5c6c    9eea    樓      60-76
5c6d    9eeb    橄      60-77
5c6e    9eec    樌      60-78
5c6f    9eed    橲      60-79
5c70    9eee    樶      60-80
5c71    9eef    橸      60-81
5c72    9ef0    橇      60-82
5c73    9ef1    橢      60-83
5c74    9ef2    橙      60-84
5c75    9ef3    橦      60-85
5c76    9ef4    橈      60-86
5c77    9ef5    樸      60-87
5c78    9ef6    樢      60-88
5c79    9ef7    檐      60-89
5c7a    9ef8    檍      60-90
5c7b    9ef9    檠      60-91
5c7c    9efa    檄      60-92
5c7d    9efb    檢      60-93
5c7e    9efc    檣      60-94
5d21    9f40    檗      61-01
5d22    9f41    蘗      61-02
5d23    9f42    檻      61-03
5d24    9f43    櫃      61-04
5d25    9f44    櫂      61-05
5d26    9f45    檸      61-06
5d27    9f46    檳      61-07
5d28    9f47    檬      61-08
5d29    9f48    櫞      61-09
5d2a    9f49    櫑      61-10
5d2b    9f4a    櫟      61-11
5d2c    9f4b    檪      61-12
5d2d    9f4c    櫚      61-13
5d2e    9f4d    櫪      61-14
5d2f    9f4e    櫻      61-15
5d30    9f4f    欅      61-16
5d31    9f50    蘖      61-17
5d32    9f51    櫺      61-18
5d33    9f52    欒      61-19
5d34    9f53    欖      61-20
5d35    9f54    鬱      61-21
5d36    9f55    欟      61-22
5d37    9f56    欸      61-23
5d38    9f57    欷      61-24
5d39    9f58    盜      61-25
5d3a    9f59    欹      61-26
5d3b    9f5a    飮      61-27
5d3c    9f5b    歇      61-28
5d3d    9f5c    歃      61-29
5d3e    9f5d    歉      61-30
5d3f    9f5e    歐      61-31
5d40    9f5f    歙      61-32
5d41    9f60    歔      61-33
5d42    9f61    歛      61-34
5d43    9f62    歟      61-35
5d44    9f63    歡      61-36
5d45    9f64    歸      61-37
5d46    9f65    歹      61-38
5d47    9f66    歿      61-39
5d48    9f67    殀      61-40
5d49    9f68    殄      61-41
5d4a    9f69    殃      61-42
5d4b    9f6a    殍      61-43
5d4c    9f6b    殘      61-44
5d4d    9f6c    殕      61-45
5d4e    9f6d    殞      61-46
5d4f    9f6e    殤      61-47
5d50    9f6f    殪      61-48
5d51    9f70    殫      61-49
5d52    9f71    殯      61-50
5d53    9f72    殲      61-51
5d54    9f73    殱      61-52
5d55    9f74    殳      61-53
5d56    9f75    殷      61-54
5d57    9f76    殼      61-55
5d58    9f77    毆      61-56
5d59    9f78    毋      61-57
5d5a    9f79    毓      61-58
5d5b    9f7a    毟      61-59
5d5c    9f7b    毬      61-60
5d5d    9f7c    毫      61-61
5d5e    9f7d    毳      61-62
5d5f    9f7e    毯      61-63
5d60    9f80    麾      61-64
5d61    9f81    氈      61-65
5d62    9f82    氓      61-66
5d63    9f83    气      61-67
5d64    9f84    氛      61-68
5d65    9f85    氤      61-69
5d66    9f86    氣      61-70
5d67    9f87    汞      61-71
5d68    9f88    汕      61-72
5d69    9f89    汢      61-73
5d6a    9f8a    汪      61-74
5d6b    9f8b    沂      61-75
5d6c    9f8c    沍      61-76
5d6d    9f8d    沚      61-77
5d6e    9f8e    沁      61-78
5d6f    9f8f    沛      61-79
5d70    9f90    汾      61-80
5d71    9f91    汨      61-81
5d72    9f92    汳      61-82
5d73    9f93    沒      61-83
5d74    9f94    沐      61-84
5d75    9f95    泄      61-85
5d76    9f96    泱      61-86
5d77    9f97    泓      61-87
5d78    9f98    沽      61-88
5d79    9f99    泗      61-89
5d7a    9f9a    泅      61-90
5d7b    9f9b    泝      61-91
5d7c    9f9c    沮      61-92
5d7d    9f9d    沱      61-93
5d7e    9f9e    沾      61-94
5e21    9f9f    沺      62-01
5e22    9fa0    泛      62-02
5e23    9fa1    泯      62-03
5e24    9fa2    泙      62-04
5e25    9fa3    泪      62-05
5e26    9fa4    洟      62-06
5e27    9fa5    衍      62-07
5e28    9fa6    洶      62-08
5e29    9fa7    洫      62-09
5e2a    9fa8    洽      62-10
5e2b    9fa9    洸      62-11
5e2c    9faa    洙      62-12
5e2d    9fab    洵      62-13
5e2e    9fac    洳      62-14
5e2f    9fad    洒      62-15
5e30    9fae    洌      62-16
5e31    9faf    浣      62-17
5e32    9fb0    涓      62-18
5e33    9fb1    浤      62-19
5e34    9fb2    浚      62-20
5e35    9fb3    浹      62-21
5e36    9fb4    浙      62-22
5e37    9fb5    涎      62-23
5e38    9fb6    涕      62-24
5e39    9fb7    濤      62-25
5e3a    9fb8    涅      62-26
5e3b    9fb9    淹      62-27
5e3c    9fba    渕      62-28
5e3d    9fbb    渊      62-29
5e3e    9fbc    涵      62-30
5e3f    9fbd    淇      62-31
5e40    9fbe    淦      62-32
5e41    9fbf    涸      62-33
5e42    9fc0    淆      62-34
5e43    9fc1    淬      62-35
5e44    9fc2    淞      62-36
5e45    9fc3    淌      62-37
5e46    9fc4    淨      62-38
5e47    9fc5    淒      62-39
5e48    9fc6    淅      62-40
5e49    9fc7    淺      62-41
5e4a    9fc8    淙      62-42
5e4b    9fc9    淤      62-43
5e4c    9fca    淕      62-44
5e4d    9fcb    淪      62-45
5e4e    9fcc    淮      62-46
5e4f    9fcd    渭      62-47
5e50    9fce    湮      62-48
5e51    9fcf    渮      62-49
5e52    9fd0    渙      62-50
5e53    9fd1    湲      62-51
5e54    9fd2    湟      62-52
5e55    9fd3    渾      62-53
5e56    9fd4    渣      62-54
5e57    9fd5    湫      62-55
5e58    9fd6    渫      62-56
5e59    9fd7    湶      62-57
5e5a    9fd8    湍      62-58
5e5b    9fd9    渟      62-59
5e5c    9fda    湃      62-60
5e5d    9fdb    渺      62-61
5e5e    9fdc    湎      62-62
5e5f    9fdd    渤      62-63
5e60    9fde    滿      62-64
5e61    9fdf    渝      62-65
5e62    9fe0    游      62-66
5e63    9fe1    溂      62-67
5e64    9fe2    溪      62-68
5e65    9fe3    溘      62-69
5e66    9fe4    滉      62-70
5e67    9fe5    溷      62-71
5e68    9fe6    滓      62-72
5e69    9fe7    溽      62-73
5e6a    9fe8    溯      62-74
5e6b    9fe9    滄      62-75
5e6c    9fea    溲      62-76
5e6d    9feb    滔      62-77
5e6e    9fec    滕      62-78
5e6f    9fed    溏      62-79
5e70    9fee    溥      62-80
5e71    9fef    滂      62-81
5e72    9ff0    溟      62-82
5e73    9ff1    潁      62-83
5e74    9ff2    漑      62-84
5e75    9ff3    灌      62-85
5e76    9ff4    滬      62-86
5e77    9ff5    滸      62-87
5e78    9ff6    滾      62-88
5e79    9ff7    漿      62-89
5e7a    9ff8    滲      62-90
5e7b    9ff9    漱      62-91
5e7c    9ffa    滯      62-92
5e7d    9ffb    漲      62-93
5e7e    9ffc    滌      62-94
5f21    e040    漾      63-01
5f22    e041    漓      63-02
5f23    e042    滷      63-03
5f24    e043    澆      63-04
5f25    e044    潺      63-05
5f26    e045    潸      63-06
5f27    e046    澁      63-07
5f28    e047    澀      63-08
5f29    e048    潯      63-09
5f2a    e049    潛      63-10
5f2b    e04a    濳      63-11
5f2c    e04b    潭      63-12
5f2d    e04c    澂      63-13
5f2e    e04d    潼      63-14
5f2f    e04e    潘      63-15
5f30    e04f    澎      63-16
5f31    e050    澑      63-17
5f32    e051    濂      63-18
5f33    e052    潦      63-19
5f34    e053    澳      63-20
5f35    e054    澣      63-21
5f36    e055    澡      63-22
5f37    e056    澤      63-23
5f38    e057    澹      63-24
5f39    e058    濆      63-25
5f3a    e059    澪      63-26
5f3b    e05a    濟      63-27
5f3c    e05b    濕      63-28
5f3d    e05c    濬      63-29
5f3e    e05d    濔      63-30
5f3f    e05e    濘      63-31
5f40    e05f    濱      63-32
5f41    e060    濮      63-33
5f42    e061    濛      63-34
5f43    e062    瀉      63-35
5f44    e063    瀋      63-36
5f45    e064    濺      63-37
5f46    e065    瀑      63-38
5f47    e066    瀁      63-39
5f48    e067    瀏      63-40
5f49    e068    濾      63-41
5f4a    e069    瀛      63-42
5f4b    e06a    瀚      63-43
5f4c    e06b    潴      63-44
5f4d    e06c    瀝      63-45
5f4e    e06d    瀘      63-46
